START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
07/08/16,08:10 PM,08:10 PM,Phillies at Rockies,Coors Field - Denver,"Local TV: CSN",07/08/16,07/08/16,11:10 PM,11:10 PM,FALSE,TRUE,07/08/16,07:10 PM,07:10 PM,FREE,BUSY
07/09/16,08:40 PM,08:40 PM,Phillies at Rockies,Coors Field - Denver,"Local TV: CSN",07/09/16,07/09/16,11:40 PM,11:40 PM,FALSE,TRUE,07/09/16,07:40 PM,07:40 PM,FREE,BUSY
07/10/16,04:10 PM,04:10 PM,Phillies at Rockies,Coors Field - Denver,"Local TV: CSN",07/10/16,07/10/16,07:10 PM,07:10 PM,FALSE,TRUE,07/10/16,03:10 PM,03:10 PM,FREE,BUSY
07/12/16,,,American at National - Time TBD,Petco Park - San Diego,"",07/12/16,07/12/16,,,FALSE,TRUE,07/12/16,,,FREE,BUSY
07/15/16,07:05 PM,07:05 PM,Mets at Phillies,Citizens Bank Park - Philadelphia,"Local TV: NBC 10",07/15/16,07/15/16,10:05 PM,10:05 PM,FALSE,TRUE,07/15/16,06:05 PM,06:05 PM,FREE,BUSY
07/16/16,07:05 PM,07:05 PM,Mets at Phillies,Citizens Bank Park - Philadelphia,"Local TV: NBC 10",07/16/16,07/16/16,10:05 PM,10:05 PM,FALSE,TRUE,07/16/16,06:05 PM,06:05 PM,FREE,BUSY
07/17/16,01:35 PM,01:35 PM,Mets at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",07/17/16,07/17/16,04:35 PM,04:35 PM,FALSE,TRUE,07/17/16,12:35 PM,12:35 PM,FREE,BUSY
07/18/16,07:05 PM,07:05 PM,Marlins at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",07/18/16,07/18/16,10:05 PM,10:05 PM,FALSE,TRUE,07/18/16,06:05 PM,06:05 PM,FREE,BUSY
07/19/16,07:05 PM,07:05 PM,Marlins at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",07/19/16,07/19/16,10:05 PM,10:05 PM,FALSE,TRUE,07/19/16,06:05 PM,06:05 PM,FREE,BUSY
07/20/16,07:05 PM,07:05 PM,Marlins at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",07/20/16,07/20/16,10:05 PM,10:05 PM,FALSE,TRUE,07/20/16,06:05 PM,06:05 PM,FREE,BUSY
